,song_name,Name,Streams,BirthDate,Country,Gender
0,7 rings,Ariana Grande,789094044,1993-06-26,United States,Female
1,Con Calma,Daddy Yankee,715027898,1977-02-03,Puerto Rico,Male
2,Dance Monkey,Tones and I,764208309,,Australia,Female
3,Happier,Marshmello,620829467,1992-05-19,United States,Male
4,SeÃÂ±orita,Shawn Mendes,763064359,1998-08-08,Canada,Male
5,Shallow,Lady Gaga,714097238,1986-03-28,United States,Female
6,Someone You Loved,Lewis Capaldi,661930419,1996-10-17,United Kingdom,Male
7,Sweet but Psycho,Ava Max,1166185736,1994-02-16,United States,Female
8,Wow.,Post Malone,615519053,1995-07-04,United States,Male
9,bad guy,Billie Eilish,1052358787,2001-12-18,United States,Female
